ID,Name,Address
318033,Столовая ЦСКА,"город Москва, Автозаводская улица, дом 23А"
29367,"Буфет Московский приборостроительный техникум, центр дополнительного образования РЭУ Г.В.Плеханова","город Москва, Нахимовский проспект, дом 21"
282205,Coffee10 a.m,"город Москва, город Московский, улица Москвитина, дом 3, корпус 2"
308933,Старт,"город Москва, улица Лужники, дом 24, строение 16"
152118,Буфет Лингвистической экономической школы-лицея,"город Москва, Верхняя Красносельская улица, дом 14, строение 3"
105228,Шоколадница,"город Москва, Манежная площадь, дом 1, строение 2"
132748,Doughnats Coffee,"город Москва, Кировоградская улица, дом 13А"
210159,Шератон,"город Москва, Международное шоссе, дом 28Б, строение 5"
203185,Папа Джонс,"город Москва, улица Маршала Катукова, дом 10"
366888,Шаурма. Хот дог. Выпечка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ясенево, проезд Одоевского, дом 11А, строение 1"
305069,Чайхана Айва,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Покровка, дом 3/7, строение 1А"
158838,Рыба моя,"город Москва, 1-я Тверская-Ямская улица, дом 21"
261921,Cofix,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, переулок Хользунова, дом 6"
315518,Соки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, площадь Киевского Вокзала, дом 2"
223678,Ресторан ТИБЕРИО,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Северное, Шипиловская улица, дом 28А"
350673,Шаурма,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, улица Фёдора Полетаева, дом 40"
262936,Holy Berry,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, улица Новый Арбат, дом 21"
372996,Srеда,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савеловский, 2-я Квесисская улица, дом 23"
343107,Столовая при ГБОУ Школа 171,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, улица Хамовнический Вал, дом 36, строение 2"
129822,Бар «Стабильная линия»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Большая Никитская улица, дом 12, строение 2"
355293,Столовая,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Нижняя Красносельская улица, дом 35, строение 64"
284031,Шаурма,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Котловка, Нагорная улица, дом 12, корпус 1"
27634,Буфет,"город Москва, Михалковская улица, дом 52"
288409,KFC,"город Москва, Варшавское шоссе, дом 87Б"
309645,BO (ДЕПО МОСКВА),"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Лесная улица, дом 20, строение 3"
